0.000,3274789767.9217,65.4958,196.4874,0.49999999
0.010,3216665919.2474,64.3333,193.0000,0.49999999
0.021,3158951819.5688,63.1790,189.5371,0.49999999
0.031,3101689941.9287,62.0338,186.1014,0.49999999
0.042,3044831798.9449,60.8966,182.6899,0.49999999
0.052,2988415461.2996,59.7683,179.3049,0.49999999
0.062,2932408965.0341,58.6482,175.9445,0.49999999
0.073,2876871076.2623,57.5374,172.6123,0.49999999
0.083,2821766931.8596,56.4353,169.3060,0.49999999
0.094,2767058114.6606,55.3412,166.0235,0.49999999
0.104,2712817460.7911,54.2563,162.7690,0.49999999
0.115,2659011012.3081,53.1802,159.5407,0.49999999
0.125,2605631188.9208,52.1126,156.3379,0.49999999
0.135,2552695906.5735,51.0539,153.1618,0.49999999
0.146,2500220805.1025,50.0044,150.0132,0.49999999
0.156,2448178987.3743,48.9636,146.8907,0.49999999
0.167,2396576941.5906,47.9315,143.7946,0.49999999
0.177,2345405828.4680,46.9081,140.7243,0.49999999
0.188,2294698138.7644,45.8940,137.6819,0.49999999
0.198,2244433860.7356,44.8887,134.6660,0.49999999
0.208,2194627122.3739,43.8925,131.6776,0.49999999
0.219,2145292310.0338,42.9058,128.7175,0.49999999
0.229,2096396123.3785,41.9279,125.7838,0.49999999
0.240,2047955635.5945,40.9591,122.8773,0.49999999
0.250,1999990030.0723,39.9998,119.9994,0.49999999
