0.000,333333333.3237,66.6667,200.0000,0.49999990
0.011,3274090683.9482,65.4818,196.4454,0.49999999
0.021,3214822763.1186,64.2965,192.8894,0.49999999
0.032,3155544889.2844,63.1109,189.3327,0.49999999
0.042,3096239951.2454,61.9248,185.7744,0.49999999
0.053,3037170068.4407,60.7434,182.2302,0.49999999
0.063,2977849041.5369,59.5570,178.6709,0.49999999
0.074,2918594907.1836,58.3719,175.1157,0.49999999
0.084,2859217553.1272,57.1844,171.5531,0.49999999
0.095,2800112768.4660,56.0023,168.0068,0.49999999
0.106,2740816276.0452,54.8163,164.4490,0.49999999
0.116,2681541472.5299,53.6308,160.8925,0.49999999
0.127,2622324894.5918,52.4465,157.3395,0.49999999
0.137,2563208472.0927,51.2642,153.7925,0.49999999
0.148,2503783348.7816,50.0757,150.2270,0.49999999
0.158,2444336997.4717,48.8867,146.6602,0.49999999
0.169,2385284867.9027,47.7057,143.1171,0.49999999
0.179,2326301163.7168,46.5260,139.5781,0.49999999
0.190,2267175029.3280,45.3435,136.0305,0.49999999
